Name,Label
Butter Chicken Bro,MENU
Chickpea Curry,MENU
Burritos,MENU
Saags,MENU
Chicken Tikka Masaala,MENU
Coconut Shrimp,MENU
Saag Lamb,MENU
Smokey Tomato Sauce,MENU
Stews,MENU
Palau Rice,MENU
Sweet Rice,MENU
Yogurt Cream Sauce,MENU
Curry Lamb,MENU
Mango Lassis,MENU
Nam Bread,MENU
Sali Boti,MENU
Dum Aloo Kashmiri,MENU
Saffron Sauce,MENU
Bengan Bharta,MENU
Saffron Rice,MENU
Mango Chutney,MENU
Checkin Baryani,MENU
Cheese,MENU
Coleslaw Salad,MENU
Kama,MENU
Lamb Roganjosh,MENU
Chicken Masalas,MENU
Tandoor Paneer,MENU
Poppadom,MENU
Tarragon Sauce,MENU
Chicken Noorani Kabab,MENU
Lamb Korma,MENU
Paneer Saag,MENU
Khums Matar Paneer,MENU
Chicken Lababda,MENU
Jasmine Rice,MENU
Naam,MENU
Lababda,MENU
Papdi Chat,MENU
Panner,MENU
Chicken Mirch Tikka Tandoori,MENU
Lamb Chop Kandhari,MENU
Eggplant Bharta,MENU
Naan Breads,MENU
Chat Papri,MENU
Chicken Tikka Misalla,MENU
Tawa Paneer Masala,MENU
Lamb Rogan Josh,MENU
Sada Chawal,MENU
Lentil Dish,MENU
Paneer Masala,MENU
Butter Chicken Tikka Massala,MENU
Spinach With Goat Cheese,MENU
Ice - Cream,MENU
Lentil Chicken Soup,MENU
Red Curry Chicken,MENU
Tawa Chicken,MENU
Butter Chicken Dinner,MENU
Pokora,MENU
Chicken Tikki Marsala,MENU
Chickien Biranyi,MENU
Chat,MENU
Butter Chicken Curry,MENU
Mixed Vegetable Samosas,MENU
Beef Rogan Josh,MENU
Malai Prawns,MENU
Masala Chai,MENU
Crispy,MENU
Mixed Veg,MENU
Tandoiri Machi,MENU
Spinach Puree,MENU
Okra Vegetarian Dish,MENU
Coriander Chutney,MENU
Jalfrezi,MENU
Goat Vindaloo,MENU
Chicken Mirch Tikka,MENU
Kulfi,MENU
Pistachio Kulfi,MENU
Vegetarian Curry,MENU
Poppadums,MENU
Onion Kulcha,MENU
Veg Kofta,MENU
Cheese Dumpling,MENU
Saag Chicken,MENU
Chole Masala,MENU
Matar Paneer,MENU
Bar,MENU
Rogan Josh,MENU
Salad Bar,MENU
Daal Makhaani,MENU
Seekh Kebab,MENU
Mulligatawny,MENU
Tawa,MENU
Fish Curry,MENU
Lamb Roghan Josh,MENU
Beef Roghan Josh,MENU
Paneer Mutter Masala,MENU
Daal Makhani,MENU
Beef Curry,MENU
Ice Cream Freezer,MENU
Urger,MENU
Regular Naan Bread,MENU
Fish Malabari,MENU
Saffron Paneer,MENU
Lamb Sali Boti,MENU
Rogan Joshi,MENU
Vegetarian Samosa,MENU
Shrimp Vindaloo,MENU
Aloo Kashmiri,MENU
Chicken And Spinach Dish,MENU
Chutney Bar,MENU
Malligatwani Soup,MENU
Malai Prawn,MENU
Indian Ice Cream,MENU
Galub Jamun,MENU
Mattar Paneer,MENU
Buttery Garlic Naan Bread,MENU
Eggplant Curry,MENU
Grilled Paneer,MENU
Pea Pilaf,MENU
Vegetarian Roasted Eggplant,MENU
Gharam Masala,MENU
Naann Bread,MENU
Beers,MENU
Chicken Lababdar,MENU
Pudina Paratha,MENU
Laccha Paratha,MENU
Chole Palau Onion Pakora Mango Kulfi,MENU
